epoch,acc,loss,lr,val_acc,val_loss
0,0.4848391089108911,2.5315001719068775,0.001,0.44773357996336294,2.5718063434773746
1,0.5492211838748967,2.138984819958886,0.001,0.5781683627926123,2.1915235670488484
2,0.5778816199562631,1.9669392622891244,0.001,0.4384828863543123,3.6659477268734206
3,0.6056074766540824,1.8075751040212091,0.001,0.48011100887700875,2.1963671853870954
4,0.6171339564048612,1.674660321856585,0.001,0.6068455134686445,1.7998171014768123
5,0.6420560748406289,1.5701464124929125,0.001,0.6327474557283739,1.5233871744916354
6,0.6728971962616822,1.4509166286741833,0.001,0.6040703050247725,1.7042805087665625
7,0.663862928274636,1.3972337882466777,0.001,0.48658649412489513,1.9084703549535929
8,0.6778816200119684,1.3557405656000536,0.001,0.6549491218457499,1.3387649542308317
9,0.6884735202492211,1.2721022539049665,0.001,0.6484736361843254,1.3296140249298194
10,0.6887850467661089,1.2206427591240665,0.001,0.47271045333913475,1.8026280287346501
11,0.7040498443110338,1.1705210840962015,0.001,0.5180388534653528,1.8335495282939802
12,0.7193146416702746,1.110276217735445,0.001,0.6003700274212508,1.4309614399425636
13,0.7149532710651743,1.102385562528331,0.001,0.6928769660481251,1.1439387865026829
14,0.7227414330589437,1.062926979599712,0.001,0.6614246066249597,1.2981920973445176
15,0.7311526480122147,1.0406893407072977,0.001,0.6780758563508379,1.1790639102514093
16,0.7370716511274795,1.020637236094549,0.001,0.6799259950009681,1.166388274672735
17,0.7426791277629935,1.0023802771375188,0.001,0.6882516194227997,1.15900756681991
18,0.7542056075509093,0.9602365704711724,0.001,0.6123959292536196,1.739678508368606
19,0.7866043613335797,0.8515127794764866,0.0003162278,0.7132284919163565,1.037597738461402
20,0.799688473557386,0.8063610665523374,0.0003162278,0.7086031458975539,1.0485715455858935
21,0.8221183799880316,0.7743028502969356,0.0003162278,0.7234042547126261,1.0213537356789524
22,0.8233644859813084,0.7597634511758976,0.0003162278,0.7187789081975776,1.0338670880457077
23,0.8186915887850468,0.7350123503497827,0.0003162278,0.703052728623841,1.0704247815315642
24,0.8292834891337101,0.7237676477877893,0.0003162278,0.7049028683767398,1.0790258192773443
25,0.8401869158507136,0.6855851010741475,0.0003162278,0.7169287703193855,1.1009925383864234
26,0.8436137072022459,0.6784504543955081,0.0003162278,0.7160037005532129,1.0661707910313638
27,0.8635514017948852,0.6213884281592206,0.000100000005,0.7234042547126261,1.0302089552544091
28,0.8822429906913425,0.5617267458981071,0.000100000005,0.7234042547126261,1.062967448516867
29,0.8903426792019996,0.5668887724386198,0.000100000005,0.7261794628532368,1.080698262807068
30,0.8903426791648628,0.5497976871294395,0.000100000005,0.71785383931362,1.1136658831286717
31,0.899065420486474,0.5348622895289804,0.000100000005,0.7086031455115849,1.1346352160473205
