epoch,acc,loss,lr,val_acc,val_loss
0,0.629950495049505,1.4425745116602076,0.001,0.3126734508396187,9.710121962894013
1,0.7105919003486634,0.9488107212235994,0.001,0.6762257175904308,0.890583101132752
2,0.7685358255080345,0.6515410999642726,0.001,0.615171138000753,1.325893439593743
3,0.8137071651461711,0.520431290423016,0.001,0.719703978459996,0.718260850044007
4,0.8367601246848656,0.4762018158799763,0.001,0.6882516186508616,1.0753091041077958
5,0.8563862927606173,0.4085817270189802,0.001,0.8085106380773186,0.6717751093973836
6,0.8651090342307759,0.3915901620068654,0.001,0.769657724108771,0.7008974800277484
7,0.868847352062059,0.373273767656255,0.001,0.8001850137657638,0.7545048585928336
8,0.8707165108291531,0.3626766015343206,0.001,0.7150786306767636,1.0472717717441555
9,0.8975077882362674,0.28607395516006373,0.001,0.8288621650483187,0.47498587967619427
10,0.9024922117637325,0.2896970552447429,0.001,0.8334875118390594,0.5215971165239315
11,0.9077881619194957,0.2668233818539949,0.001,0.7678075853483639,0.8201538277488412
12,0.8978193146417446,0.28300701551533936,0.001,0.7705827934889745,0.7640388156946448
13,0.9068535824802434,0.24787447363416726,0.001,0.7631822390538691,0.7942161557301672
14,0.901557632361617,0.2772496952446079,0.001,0.7946345969882969,0.625984606232277
15,0.9386292834148229,0.17689441310653806,0.0003162278,0.8862164657387217,0.3230275253004547
16,0.9579439252336449,0.12402010422745412,0.0003162278,0.8843663269783147,0.35281930946564916
17,0.9585669781188727,0.11988871591484807,0.0003162278,0.9037927839625886,0.3222391273305992
18,0.966666666592393,0.1041570832889028,0.0003162278,0.9019426452021815,0.3107775481733098
19,0.9713395637886546,0.08552394349627035,0.0003162278,0.8926919514001463,0.3837933498163338
20,0.9763239874646671,0.07389639350948304,0.0003162278,0.8908418126397393,0.3699555113622152
21,0.9766355140186916,0.07101370620648623,0.0003162278,0.8788159106970936,0.4290089263864186
22,0.974766355140187,0.0786534381664802,0.0003162278,0.9000925064417745,0.38832286792866727
23,0.9775700933836702,0.07049837769749008,0.0003162278,0.8926919514001463,0.407055353244403
24,0.9825545170596827,0.05393592776074959,0.000100000005,0.9084181308636061,0.3292359120309849
25,0.9878504672897196,0.03683469301072236,0.000100000005,0.9037927839625886,0.33354217376453144
26,0.9897196261682243,0.03249213582838993,0.000100000005,0.9148936165250308,0.32611947060734114
27,0.989096573134449,0.0351883148658452,0.000100000005,0.9232192409468624,0.29494907615997523
28,0.9937694704049844,0.023423927895887247,0.000100000005,0.9185938940458448,0.3156059558996991
29,0.9890965732087228,0.03412604080019896,0.000100000005,0.9037927839625886,0.3673648114120596
30,0.9919003115264797,0.027176921579818533,0.000100000005,0.9176688246656413,0.31981783518076606
31,0.9940809968847352,0.024873570373101953,0.000100000005,0.9195189634260483,0.3088656526599958
32,0.99345794385096,0.023905287742196957,0.000100000005,0.9176688246656413,0.3147328260262513
33,0.994392523364486,0.01948369480785551,3.1622778e-05,0.9185938940458448,0.3103415472820663
34,0.9950155762497138,0.01874972003573012,3.1622778e-05,0.9158186859052342,0.3291675393417078
35,0.9965732087227415,0.013286293224457686,3.1622778e-05,0.9185938940458448,0.33359697707872715
36,0.9953271028037384,0.015380301376701532,3.1622778e-05,0.9167437552854377,0.34141174206901326
37,0.9975077881619938,0.012289841360821624,3.1622778e-05,0.9130434777646237,0.3601707338625143
